Старт: читателей=2, писателей=2, out=out1.log, config=inp.txt
READER #0 | PID=19910 : idx=10 value=586 fib=8
READER #1 | PID=19911 : idx=17 value=887 fib=13
WRITER #0 | PID=19912 : idx=4 old=354 new=596
WRITER #1 | PID=19913 : idx=11 old=639 new=845
READER #0 | PID=19910 : idx=4 value=417 fib=1597
READER #1 | PID=19911 : idx=6 value=508 fib=21
WRITER #0 | PID=19912 : idx=1 old=47 new=693
READER #0 | PID=19910 : idx=2 value=308 fib=21
READER #1 | PID=19911 : idx=15 value=845 fib=5
WRITER #1 | PID=19913 : idx=7 old=535 new=704
READER #0 | PID=19910 : idx=3 value=417 fib=1597
READER #1 | PID=19911 : idx=14 value=832 fib=144
WRITER #0 | PID=19912 : idx=4 old=477 new=792
WRITER #1 | PID=19913 : idx=14 old=832 new=417
READER #0 | PID=19910 : idx=11 value=704 fib=3
READER #1 | PID=19911 : idx=1 value=288 fib=21
READER #1 | PID=19911 : idx=19 value=968 fib=21
READER #0 | PID=19910 : idx=7 value=586 fib=8
WRITER #0 | PID=19912 : idx=16 old=850 new=238
WRITER #1 | PID=19913 : idx=0 old=7 new=469
READER #0 | PID=19910 : idx=8 value=586 fib=8
READER #1 | PID=19911 : idx=12 value=704 fib=3
READER #0 | PID=19910 : idx=8 value=586 fib=8
READER #1 | PID=19911 : idx=6 value=508 fib=21
WRITER #0 | PID=19912 : idx=14 old=792 new=292
WRITER #1 | PID=19913 : idx=17 old=887 new=354
READER #0 | PID=19910 : idx=2 value=292 fib=144
READER #1 | PID=19911 : idx=18 value=934 fib=377
READER #0 | PID=19910 : idx=7 value=469 fib=34
READER #1 | PID=19911 : idx=9 value=531 fib=89
WRITER #0 | PID=19912 : idx=8 old=508 new=207
WRITER #1 | PID=19913 : idx=8 old=469 new=725
READER #0 | PID=19910 : idx=15 value=725 fib=5
READER #1 | PID=19911 : idx=15 value=725 fib=5
READER #0 | PID=19910 : idx=3 value=292 fib=144
READER #1 | PID=19911 : idx=1 value=238 fib=2584
WRITER #0 | PID=19912 : idx=2 old=288 new=169
WRITER #1 | PID=19913 : idx=7 old=417 new=211
READER #0 | PID=19910 : idx=12 value=693 fib=233
READER #1 | PID=19911 : idx=17 value=845 fib=5
