Старт: читателей=2, писателей=5, out=out2.log
READER #0 | PID=19975 : idx=5 value=213 fib=233
READER #1 | PID=19976 : idx=12 value=586 fib=8
WRITER #0 | PID=19977 : idx=19 old=983 new=605
WRITER #1 | PID=19978 : idx=6 old=220 new=854
WRITER #2 | PID=19979 : idx=13 old=660 new=103
WRITER #3 | PID=19980 : idx=0 old=23 new=705
WRITER #4 | PID=19981 : idx=7 old=294 new=954
READER #0 | PID=19975 : idx=6 value=256 fib=987
READER #1 | PID=19976 : idx=15 value=824 fib=3
WRITER #0 | PID=19977 : idx=3 old=119 new=53
WRITER #2 | PID=19979 : idx=15 old=824 new=722
WRITER #3 | PID=19980 : idx=8 old=507 new=380
WRITER #1 | PID=19978 : idx=9 old=559 new=711
WRITER #4 | PID=19981 : idx=14 old=722 new=391
READER #0 | PID=19975 : idx=4 value=189 fib=34
READER #1 | PID=19976 : idx=17 value=936 fib=987
READER #1 | PID=19976 : idx=1 value=58 fib=2584
READER #0 | PID=19975 : idx=3 value=107 fib=13
WRITER #0 | PID=19977 : idx=9 old=456 new=767
WRITER #1 | PID=19978 : idx=19 old=975 new=39
WRITER #2 | PID=19979 : idx=2 old=58 new=311
WRITER #4 | PID=19981 : idx=15 old=767 new=208
WRITER #3 | PID=19980 : idx=12 old=605 new=583
READER #1 | PID=19976 : idx=6 value=213 fib=233
READER #0 | PID=19975 : idx=16 value=806 fib=8
READER #0 | PID=19975 : idx=9 value=380 fib=0
READER #1 | PID=19976 : idx=1 value=53 fib=233
WRITER #0 | PID=19977 : idx=15 old=711 new=840
WRITER #3 | PID=19980 : idx=7 old=256 new=180
WRITER #1 | PID=19978 : idx=19 old=954 new=71
WRITER #2 | PID=19979 : idx=3 old=103 new=302
WRITER #4 | PID=19981 : idx=11 old=391 new=411
READER #0 | PID=19975 : idx=7 value=213 fib=233
READER #1 | PID=19976 : idx=11 value=411 fib=89
READER #0 | PID=19975 : idx=10 value=380 fib=0
READER #1 | PID=19976 : idx=1 value=53 fib=233
WRITER #3 | PID=19980 : idx=16 old=806 new=96
WRITER #0 | PID=19977 : idx=1 old=53 new=910
WRITER #1 | PID=19978 : idx=4 old=180 new=972
WRITER #2 | PID=19979 : idx=0 old=39 new=34
WRITER #4 | PID=19981 : idx=12 old=586 new=158
READER #0 | PID=19975 : idx=9 value=311 fib=89
READER #1 | PID=19976 : idx=5 value=189 fib=34
READER #1 | PID=19976 : idx=7 value=213 fib=233
READER #0 | PID=19975 : idx=5 value=189 fib=34
WRITER #3 | PID=19980 : idx=6 old=208 new=782
WRITER #1 | PID=19978 : idx=13 old=705 new=99
WRITER #0 | PID=19977 : idx=13 old=698 new=934
WRITER #2 | PID=19979 : idx=13 old=782 new=617
WRITER #4 | PID=19981 : idx=6 old=189 new=300
READER #1 | PID=19976 : idx=0 value=34 fib=377
READER #0 | PID=19975 : idx=0 value=34 fib=377
READER #1 | PID=19976 : idx=15 value=854 fib=377
READER #0 | PID=19975 : idx=10 value=380 fib=0
