Старт (pthread/cv): читателей=2, писателей=3, out=outAnother.log
READER #0 | TID=6122565632 : idx=18 value=949 fib=34
READER #1 | TID=6123139072 : idx=5 value=183 fib=2
WRITER #2 | TID=6124859392 : idx=12 old=663 new=338
WRITER #1 | TID=6124285952 : idx=1 old=6 new=222
WRITER #0 | TID=6123712512 : idx=0 old=1 new=375
READER #0 | TID=6122565632 : idx=0 value=39 fib=4181
READER #1 | TID=6123139072 : idx=9 value=465 fib=5
WRITER #2 | TID=6124859392 : idx=17 old=852 new=54
WRITER #1 | TID=6124285952 : idx=6 old=222 new=528
WRITER #0 | TID=6123712512 : idx=5 old=217 new=624
READER #1 | TID=6123139072 : idx=13 value=624 fib=3
READER #0 | TID=6122565632 : idx=10 value=511 fib=89
READER #1 | TID=6123139072 : idx=18 value=949 fib=34
READER #0 | TID=6122565632 : idx=12 value=528 fib=21
WRITER #2 | TID=6124859392 : idx=12 old=528 new=985
WRITER #1 | TID=6124285952 : idx=14 old=820 new=21
WRITER #0 | TID=6123712512 : idx=17 old=949 new=796
READER #1 | TID=6123139072 : idx=12 value=523 fib=2
READER #0 | TID=6122565632 : idx=8 value=375 fib=610
READER #1 | TID=6123139072 : idx=3 value=78 fib=2584
READER #0 | TID=6122565632 : idx=10 value=503 fib=2
WRITER #2 | TID=6124859392 : idx=13 old=624 new=709
WRITER #1 | TID=6124285952 : idx=3 old=78 new=706
WRITER #0 | TID=6123712512 : idx=2 old=54 new=756
READER #1 | TID=6123139072 : idx=3 value=183 fib=2
READER #0 | TID=6122565632 : idx=0 value=21 fib=1
READER #0 | TID=6122565632 : idx=10 value=523 fib=2
READER #1 | TID=6123139072 : idx=3 value=183 fib=2
WRITER #1 | TID=6124285952 : idx=1 old=39 new=408
WRITER #2 | TID=6124859392 : idx=1 old=149 new=180
WRITER #0 | TID=6123712512 : idx=11 old=706 new=78
READER #0 | TID=6122565632 : idx=11 value=523 fib=2
READER #1 | TID=6123139072 : idx=14 value=796 fib=987
READER #0 | TID=6122565632 : idx=7 value=408 fib=21
READER #1 | TID=6123139072 : idx=2 value=180 fib=0
WRITER #1 | TID=6124285952 : idx=8 old=465 new=242
WRITER #0 | TID=6123712512 : idx=18 old=985 new=762
WRITER #2 | TID=6124859392 : idx=16 old=812 new=938
READER #0 | TID=6122565632 : idx=13 value=756 fib=987
READER #1 | TID=6123139072 : idx=15 value=796 fib=987
