Старт: читателей=2, писателей=3, out=outMain.log
READER #0 | PID=20768 : idx=16 value=855 fib=610
READER #1 | PID=20769 : idx=3 value=156 fib=987
WRITER #0 | PID=20770 : idx=10 old=449 new=127
WRITER #1 | PID=20771 : idx=17 old=936 new=376
WRITER #2 | PID=20772 : idx=4 old=156 new=625
READER #0 | PID=20768 : idx=15 value=625 fib=5
READER #1 | PID=20769 : idx=4 value=163 fib=2
WRITER #0 | PID=20770 : idx=19 old=990 new=339
WRITER #1 | PID=20771 : idx=5 old=176 new=997
READER #1 | PID=20769 : idx=6 value=339 fib=4181
READER #0 | PID=20768 : idx=0 value=95 fib=610
WRITER #2 | PID=20772 : idx=11 old=449 new=8
READER #0 | PID=20768 : idx=9 value=365 fib=5
READER #1 | PID=20769 : idx=7 value=339 fib=4181
WRITER #1 | PID=20771 : idx=8 old=357 new=157
WRITER #0 | PID=20770 : idx=5 old=157 new=532
WRITER #2 | PID=20772 : idx=18 old=978 new=429
READER #0 | PID=20768 : idx=12 value=459 fib=4181
READER #1 | PID=20769 : idx=15 value=610 fib=55
READER #0 | PID=20768 : idx=7 value=339 fib=4181
READER #1 | PID=20769 : idx=19 value=997 fib=1597
WRITER #0 | PID=20770 : idx=1 old=95 new=361
WRITER #1 | PID=20771 : idx=5 old=303 new=239
WRITER #2 | PID=20772 : idx=9 old=376 new=470
READER #0 | PID=20768 : idx=13 value=532 fib=144
READER #1 | PID=20769 : idx=17 value=695 fib=610
READER #0 | PID=20768 : idx=18 value=855 fib=610
READER #1 | PID=20769 : idx=9 value=417 fib=1597
WRITER #0 | PID=20770 : idx=14 old=589 new=720
WRITER #1 | PID=20771 : idx=10 old=429 new=782
WRITER #2 | PID=20772 : idx=6 old=339 new=844
READER #1 | PID=20769 : idx=11 value=532 fib=144
READER #0 | PID=20768 : idx=15 value=720 fib=0
READER #1 | PID=20769 : idx=17 value=844 fib=3
READER #0 | PID=20768 : idx=15 value=720 fib=0
WRITER #0 | PID=20770 : idx=5 old=239 new=215
WRITER #1 | PID=20771 : idx=5 old=215 new=380
WRITER #2 | PID=20772 : idx=18 old=855 new=898
READER #1 | PID=20769 : idx=12 value=610 fib=55
READER #0 | PID=20768 : idx=12 value=610 fib=55
READER #1 | PID=20769 : idx=16 value=782 fib=1
READER #0 | PID=20768 : idx=11 value=532 fib=144
